algorithm,size,inputType,timeNs,maxDepth,comparisons
MergeSort,1000,Random,107700,9,8802
QuickSort,1000,Random,100300,7,10983
DeterministicSelect,1000,Random,44200,10,7577
MergeSort,1000,Sorted,37100,9,4788
QuickSort,1000,Sorted,41600,8,10907
DeterministicSelect,1000,Sorted,30800,14,11422
MergeSort,1000,Reverse,47700,9,5420
QuickSort,1000,Reverse,44500,8,10978
DeterministicSelect,1000,Reverse,26600,11,9082
MergeSort,1000,Duplicate-heavy,60900,9,8514
QuickSort,1000,Duplicate-heavy,145800,4,53388
DeterministicSelect,1000,Duplicate-heavy,19800,6,5668
ClosestPair,1000,Random,1625700,10,10080
MergeSort,10000,Random,1411600,13,120486
QuickSort,10000,Random,667000,9,151175
DeterministicSelect,10000,Random,404500,11,64828
MergeSort,10000,Sorted,149500,13,66960
QuickSort,10000,Sorted,275000,10,148752
DeterministicSelect,10000,Sorted,155600,16,66282
MergeSort,10000,Reverse,226000,13,66896
QuickSort,10000,Reverse,323100,10,152052
DeterministicSelect,10000,Reverse,212000,11,63882
MergeSort,10000,Duplicate-heavy,3547200,13,116911
QuickSort,10000,Duplicate-heavy,4070600,4,5046659
DeterministicSelect,10000,Duplicate-heavy,353000,7,56078
ClosestPair,10000,Random,20611400,13,132972
MergeSort,100000,Random,8624500,16,1536662
QuickSort,100000,Random,7883100,11,1982974
DeterministicSelect,100000,Random,2563200,14,687385
MergeSort,100000,Sorted,1650300,16,821136
QuickSort,100000,Sorted,2785500,12,1997517
DeterministicSelect,100000,Sorted,3650200,28,2490036
MergeSort,100000,Reverse,2178300,16,849488
QuickSort,100000,Reverse,3354800,12,2022154
DeterministicSelect,100000,Reverse,1062900,16,808264
MergeSort,100000,Duplicate-heavy,3947000,16,1481136
QuickSort,100000,Duplicate-heavy,311121900,4,500384081
DeterministicSelect,100000,Duplicate-heavy,1063100,8,343848
ClosestPair,100000,Random,123549100,17,1649541
